Source,Target
397620,48751
397620,61795
397621,142426
397623,28930
397623,39675
397623,80181
397623,104388
397623,121909
397623,244515
397624,150889
397624,160325
397624,172921
397624,183662
397624,196300
397624,203501
397624,207700
397624,329854
397725,443262
397726,227718
397897,443082
397897,443133
397897,443248
397898,244846
397900,314140
397901,252707
397901,275350
397901,275353
397901,275357
397901,275361
397901,299671
397901,330793
398373,61014
398373,98251
398373,188365
398375,172932
398375,243115
398376,34236
398376,158389
398376,203616
398377,172929
398377,198527
398377,298837
398378,171556
398378,172934
398378,197367
398378,224736
398475,274199
398475,443127
399619,68548
399619,145222
399619,189979
399619,263137
399619,349352
399620,165663
399622,93804
400063,245017
400063,442687
400063,442906
400064,442757
400064,443031
400439,5385
400439,442830
401092,61005
401092,196291
401093,9261
401094,145222
401094,224736
401094,310839
401094,347701
401095,420063
401096,203971
401096,235705
401096,266308
401096,298851
401097,129058
401097,172926
401097,443335
401097,1809814
401097,1809981
401401,149886
401401,160327
401402,188360
401403,145222
401403,265244
401404,142433
401404,227528
401404,281948
411797,272276
411799,324168
413967,422472
413967,422590
413967,422605
413977,250246
413977,422447
413977,422552
413977,422590
413979,422460
413980,422544
413981,304715
413981,422511
413981,422536
413981,422612
414021,302433
414025,50502
414025,144323
414025,164914
414025,175859
414025,210630
414025,220387
414025,236404
414025,246035
414025,263582
414074,738
414076,186894
414076,196308
414076,264625
414077,235709
414079,26147
414079,39676
414079,60858
414079,219796
414083,104409
414083,198236
414084,184369
414084,219965
414084,328108
414084,333669
414085,259477
414085,442961
414086,325775
414090,10226
414110,420052
414110,443087
414111,80279
414111,84618
414111,106245
414111,106259
414111,157860
414111,190285
414111,261414
414111,292241
414111,572720
414113,206375
414113,273101
414115,198720
414115,298417
414115,299876
414115,305811
414115,573605
414610,159735
414612,231387
414612,442833
414612,443235
414684,298606
414684,452766
414686,265582
414692,170564
414692,219509
414698,48756
415137,121449
415139,277476
415139,320964
417520,214716
417535,420121
417536,50506
417537,144326
417538,32570
417538,139315
417538,141075
417538,264504
420055,420054
420055,443025
420058,26125
420058,572922
420062,420063
420063,420062
420066,420053
420067,443085
420067,443091
420073,452821
420074,442851
420074,452821
420074,452824
420078,420057
420078,452819
420080,221879
420080,452747
420082,443082
420082,443092
420084,3136
420084,4639
420084,61792
420084,173166
420084,443025
420084,452828
420085,452819
420085,452821
420087,304706
420087,420062
420087,420063
420091,48666
420091,48667
420091,225872
420091,420051
420091,420064
420091,420089
420091,442814
420091,443082
420096,443158
420096,452821
420097,60638
420097,420070
420097,420078
420097,452819
420098,443091
420100,420101
420102,26125
420102,61792
420102,420054
420102,420059
420105,420054
420108,443091
420109,25208
420109,452821
420110,420055
420110,420059
420111,420078
420111,452821
420112,442814
420112,452822
420113,420084
420114,452838
420115,61792
420115,452821
420116,420117
420116,420118
420116,420119
420116,420120
420116,420121
420117,420092
420118,420064
420118,420076
420118,420101
420118,443092
420118,452822
420120,443082
420123,420064
420126,420062
420126,420073
420126,443092
420126,443313
420128,442850
420129,420051
420130,1808793
420130,1809266
420132,375017
420133,236697
420133,420120
420135,443194
420136,198701
420136,420077
420136,420091
420136,420137
420136,420138
420136,420139
420136,420140
420139,420091
420140,452819
420141,420100
420141,420101
420142,420054
420142,420077
420146,443148
420283,19420
420283,137385
420317,420302
420327,420289
420330,420295
420335,157859
420336,420296
420337,420284
420341,420291
420342,251698
420348,420318
420348,420322
420349,420287
420350,420348
420362,212524
420368,420288
420369,190282
420373,420296
420379,420296
420379,420336
420381,420336
420386,73237
420386,233141
420386,233143
420386,261786
420388,230411
420388,263583
420390,420291
420400,420345
420400,420358
420412,420288
420412,420337
420418,420370
420419,420328
420420,6687
420420,50937
420420,70626
420420,70640
420420,106245
420420,106253
420420,244999
420420,268947
420424,263583
420464,375017
420466,318412
420466,375017
420468,225874
420468,375017
420470,375017
420472,375017
420473,60635
420475,375017
420476,134890
420477,134881
420477,134888
420479,106122
420485,593030
420486,420486
420488,375017
420488,379117
420488,443214
420489,92696
420489,375017
420490,38825
420490,443121
420491,104916
420492,443121
420493,375017
420499,375017
420507,318412
420508,318416
420513,318412
420513,375017
420514,375017
420516,420481
420518,420476
420520,420467
420521,139924
420521,142259
420521,420479
420523,420476
420525,375017
420527,257877
420528,318412
420528,375017
420528,420466
420528,443316
420529,420530
420529,420531
420529,420532
420529,420533
420529,420534
420529,420535
420530,375017
420531,318412
420531,375017
420534,92696
420534,420529
420534,420535
420535,420529
420535,420534
420539,420515
420540,420083
420542,104916
420917,420922
420938,420932
420976,420932
420980,420919
420980,420920
420996,420921
421001,420917
421001,420921
421001,420922
421001,420928
421001,420958
421001,420976
421003,420918
421011,227372
421014,420921
421016,420921
421016,420996
421019,420917
421019,420921
421019,420922
421019,420943
421019,420977
421019,420996
421019,420999
421019,421001
421019,421016
421021,420922
421022,420948
421023,420958
421026,420991
421026,420997
421026,421019
421026,421023
421029,420984
421195,421195
421209,421209
421213,421225
421216,421216
421224,421208
421225,421213
421227,421261
421229,421208
421229,421224
421230,421205
421238,573102
421239,573102
421239,573267
421255,421202
421258,572729
421267,421272
421273,142546
421280,1808857
421280,1809030
421280,1809090
421285,421219
421289,421211
421290,154662
421292,86795
421292,421275
421292,572931
421298,259470
421299,421212
421308,421206
421308,421244
421308,421276
421308,421312
421308,572899
421308,572903
421308,572907
421309,421243
421311,421243
421311,421244
421312,572899
421314,421206
421323,443306
421325,421218
421325,573102
421326,421294
421328,421207
421334,421249
421335,421237
421338,421338
421338,573548
421342,284043
421343,141079
421343,166168
421343,170227
421343,176744
421343,182714
421343,189910
421343,190983
421343,196263
421343,204123
421343,206352
421343,210636
421343,226766
421343,226778
421343,442849
421343,442856
421343,442857
421343,442862
421343,442874
421343,442879
421343,442887
421343,442888
421343,442963
421343,443008
421343,443018
421343,443020
421343,443031
421343,443034
421343,443036
421343,443044
421343,443048
421343,443049
421343,443071
421343,443088
421343,443101
421343,443106
421343,443119
421343,443137
421343,443140
421343,443141
421343,443152
421343,443177
421343,443184
421343,443191
421343,443197
421343,443205
421343,443207
421343,443218
421343,443222
421343,452764
421343,452780
421343,452781
421343,452796
421343,452797
421343,452804
421343,452809
421343,452815
421343,912098
421343,912157
421344,733628
421350,80264
421350,142815
421350,912100
421355,27733
421355,50506
421355,125463
421360,801637
421368,421356
421370,9577
421370,268949
421376,19967
421376,50500
421378,911963
421381,331303
421383,307856
421383,308054
421386,157856
421386,912019
421387,307944
421387,572942
421390,190285
421390,227368
421390,227370
421395,234907
421396,573092
421397,7944
421400,178499
421401,179142
421401,263584
421401,572719
421402,91450
421402,572719
421403,7944
421403,20844
421403,61958
421403,72110
421403,234804
421403,252273
421407,308052
421408,206377
421408,208162
421408,229101
421408,230409
421408,230412
421408,912053
421409,573092
421411,18768
421412,7944
421414,7944
421414,34624
421414,50506
421414,84583
421414,106245
421414,106247
421414,179141
421414,190282
421414,200314
421414,216931
421414,252267
421414,421354
421414,572721
421414,573010
421414,917643
421416,995830
421417,289836
421421,573456
421426,292238
421438,220406
421438,227365
421438,573240
421440,420052
421442,139290
421442,265139
421444,421385
421445,44569
421445,443461
421445,912032
421446,421341
421448,179142
421449,279520
421451,29092
421451,97880
421452,179119
421452,233142
421461,442973
421461,443201
421461,912032
421462,59387
421462,106244
421462,252256
421462,573240
421463,442808
421464,93758
421464,106253
421464,144323
421464,183718
421464,229319
421464,262807
421464,912050
421464,917640
421465,187942
421465,216931
421466,175859
421466,175875
421466,178503
421466,190395
421467,421495
421472,261414
421472,912163
421473,243555
421474,29710
421474,157865
421474,190272
421474,205254
421475,421356
421476,20844
421476,50505
421476,59382
421476,70626
421476,84581
421476,139122
421476,139273
421476,164860
421476,243555
421480,227368
421481,216931
421481,442948
421482,420062
421484,100904
421489,179124
421490,179124
421496,29710
421496,71852
421496,190272
421498,178500
421498,233142
421498,275841
421501,179124
421501,230411
421502,179124
421502,230411
421502,275712
421502,912047
421508,61960
421508,106250
421508,143200
421508,157870
421508,192314
421508,205252
421509,62334
421510,97438
421510,228632
421511,34621
421511,106250
421513,93194
421513,93195
421513,188654
421513,197469
421513,271927
421514,40242
421514,54797
421514,72125
421515,261785
421518,912158
421520,573103
421526,442812
422249,422474
422437,265475
422438,422444
422442,422489
422442,422498
422442,422555
422443,258818
422444,422481
422444,422489
422445,422559
422446,422555
422446,806386
422447,422447
422447,422478
422447,422512
422447,422548
422450,422500
422452,422552
422453,422527
422454,806386
422455,806386
422459,422558
422460,422489
422460,422560
422461,422474
422462,422560
422462,422561
422463,304029
422463,422558
422470,422474
422471,422520
422482,164029
422488,806386
422507,248900
422512,422478
422512,806386
422515,806386
422524,442967
422524,452818
422527,422498
422527,422502
422536,422511
422543,422481
422547,422503
422551,182672
422551,442781
422551,442972
422551,443130
422559,422560
422560,422559
422565,422563
422569,422545
422569,422569
422571,422545
422575,422481
422575,422485
422577,422481
422578,422503
422578,422547
422578,422558
422578,422559
422578,422561
422578,422562
422580,422447
422580,422512
422580,422548
422591,422462
422591,422463
422594,422560
422594,422561
422604,422447
422604,422548
422604,422580
422609,443289
422611,420063
422611,452821
422612,304715
422612,422511
422612,422536
422613,422456
423353,41566
423357,24214
423357,1809513
423362,423370
423362,1808721
423362,1810730
423362,1815188
423363,1809000
423363,1809306
423365,1818269
423370,423362
423370,1809863
423370,1810390
423371,1818181
423376,26822
423376,1809152
423376,1818382
423378,423356
423379,423367
423380,11418
423380,423380
423381,1809435
423382,1808883
423382,1809844
423382,1810044
423382,1810064
423382,1810420
423382,1818366
423385,431408
423385,1809631
423385,1810696
423385,1810697
423386,1809306
423386,1810143
423387,1809942
423391,423380
423392,423380
423393,423348
423395,423359
423395,423365
423395,1818269
423397,423385
423397,431408
423397,1809631
423397,1810697
423397,1810946
423397,1815273
423397,1815274
423398,1808722
423398,1808752
423398,1808790
423398,1810386
423399,1809403
423399,1809404
423399,1809728
423399,1809922
423399,1809923
424907,443277
