paper_id,Recency,Spec_P,n_ref,n_cite,Cite_per_paper,Auth_collab,CiteScore,Percentile,Percent_Cited,SNIP,SJR
4553,0.125,1,2,0,2.45,6.0,3.23,88.0,81.0,1.85,2.047
28646,0.0909090909090909,0,9,6,5.23125,14.25,3.23,88.0,81.0,1.85,2.047
14379,0.0416666666666666,1,3,13,24.642857142857142,7.0,3.23,88.0,81.0,1.85,2.047
2088,0.0285714285714285,1,0,15,11.25,4.0,4.8,99.0,88.0,2.033,2.883
12468,0.0344827586206896,1,4,2,6.5,3.0,4.8,99.0,88.0,2.033,2.883
12648,0.125,0,1,0,0.0,1.0,1.23,52.0,54.0,0.458,0.36
7795,0.0476190476190476,1,0,1,2.333333333333333,12.0,1.59,64.0,58.0,0.915,0.28
35903,0.2,0,38,0,2.0,3.5,3.23,88.0,81.0,1.85,2.047
5941,0.0526315789473684,0,5,2,2.333333333333333,5.0,3.23,88.0,81.0,1.85,2.047
30048,0.1428571428571428,0,2,0,0.8928571428571428,7.5,1.23,52.0,54.0,0.458,0.36
26310,0.0476190476190476,1,2,6,2.0499533146591973,22.33333333333333,1.29,68.0,52.0,0.659,0.578
3945,0.1,1,3,1,1.125,6.0,4.8,99.0,88.0,2.033,2.883
24824,0.0434782608695652,1,1,1,0.75,1.5,3.23,88.0,81.0,1.85,2.047
13436,0.125,0,0,4,3.0,1.0,1.59,65.0,65.0,0.772,0.474
7844,0.1666666666666666,1,8,1,3.722222222222222,11.666666666666666,4.8,99.0,88.0,2.033,2.883
12003,0.0526315789473684,0,0,2,3.0,5.0,1.87,70.0,63.0,0.937,0.604
30767,0.2,1,4,0,0.9530643738977074,49.72222222222222,1.59,65.0,65.0,0.772,0.474
21907,0.0526315789473684,1,8,0,4.206896551724138,48.0,4.8,99.0,88.0,2.033,2.883
15177,0.0769230769230769,0,0,1,1.0,0.0,1.87,70.0,63.0,0.937,0.604
16466,0.0833333333333333,0,4,6,6.583333333333333,15.666666666666666,3.23,88.0,81.0,1.85,2.047
35472,0.0476190476190476,0,1,7,7.075438596491228,30.0,3.23,88.0,81.0,1.85,2.047
28784,0.0476190476190476,0,0,2,2.0,7.0,1.59,65.0,65.0,0.772,0.474
30080,0.1428571428571428,0,1,0,0.5555555555555555,9.666666666666666,1.87,70.0,63.0,0.937,0.604
42562,0.0714285714285714,0,0,1,0.8333333333333333,5.5,1.59,64.0,58.0,0.915,0.28
40472,0.0357142857142857,1,1,3,3.3,4.4,3.23,88.0,81.0,1.85,2.047
29826,0.0416666666666666,0,0,2,2.0,5.0,1.59,64.0,58.0,0.915,0.28
33113,0.0526315789473684,1,2,2,2.5,2.0,4.8,99.0,88.0,2.033,2.883
44612,0.0714285714285714,1,1,0,0.5,3.5,4.8,99.0,88.0,2.033,2.883
24416,0.2,1,3,0,2.333333333333333,79.5,4.8,99.0,88.0,2.033,2.883
31661,0.0769230769230769,0,1,0,0.0,3.6666666666666665,4.8,99.0,88.0,2.033,2.883
35552,0.1666666666666666,0,5,0,0.3452380952380953,12.0,1.87,70.0,63.0,0.937,0.604
31622,0.0833333333333333,1,4,4,4.703703703703704,32.0,3.23,88.0,81.0,1.85,2.047
750,0.0833333333333333,0,6,2,4.09775641025641,29.33333333333333,4.8,99.0,88.0,2.033,2.883
25545,0.037037037037037,1,4,60,100.3030303030303,10.333333333333334,3.23,88.0,81.0,1.85,2.047
1767,0.0434782608695652,1,2,3,3.8840579710144927,26.666666666666668,3.23,88.0,81.0,1.85,2.047
16336,0.1428571428571428,0,2,0,0.0,3.0,1.59,65.0,65.0,0.772,0.474
21590,0.0303030303030303,1,0,6,6.0,3.0,4.8,99.0,88.0,2.033,2.883
35679,0.0833333333333333,1,7,2,3.0,8.0,3.23,88.0,81.0,1.85,2.047
23403,0.0454545454545454,0,5,2,2.106060606060606,13.5,4.8,99.0,88.0,2.033,2.883
36308,0.1,0,3,1,4.0,2.0,3.23,88.0,81.0,1.85,2.047
35873,0.0476190476190476,0,1,0,3.3162393162393164,39.66666666666666,4.8,99.0,88.0,2.033,2.883
777,0.1,0,0,1,0.9166666666666666,5.0,1.26,57.0,51.0,0.623,0.264
36691,0.05,0,4,1,2.2733516483516483,35.75,1.59,65.0,65.0,0.772,0.474
15026,0.1428571428571428,1,2,1,0.8083333333333332,19.75,1.87,70.0,63.0,0.937,0.604
4502,0.0769230769230769,0,2,1,1.4166666666666667,6.333333333333333,4.8,99.0,88.0,2.033,2.883
8264,0.0833333333333333,0,1,2,1.7852404643449422,141.5,1.87,70.0,63.0,0.937,0.604
23031,0.0666666666666666,0,5,14,8.715740740740742,62.333333333333336,3.23,88.0,81.0,1.85,2.047
35477,0.0909090909090909,1,0,1,0.611111111111111,8.666666666666666,1.59,64.0,58.0,0.915,0.28
28712,0.0714285714285714,1,8,3,2.4774621212121213,56.875,1.59,65.0,65.0,0.772,0.474
19515,0.0434782608695652,1,2,21,17.5,5.0,1.59,65.0,65.0,0.772,0.474
4755,0.1,1,0,1,0.812962962962963,10.0,1.87,70.0,63.0,0.937,0.604
21144,0.1428571428571428,1,2,0,1.3555555555555554,37.66666666666666,1.59,65.0,65.0,0.772,0.474
35453,0.0666666666666666,0,1,14,9.4,13.5,3.23,88.0,81.0,1.85,2.047
3,0.03125,1,0,10,8.0,3.0,3.23,88.0,81.0,1.85,2.047
8763,0.1428571428571428,0,1,0,0.4,6.0,1.59,64.0,58.0,0.915,0.28
5531,0.037037037037037,0,0,1,1.5,5.0,1.87,70.0,63.0,0.937,0.604
32282,0.0476190476190476,1,5,6,3.875,3.0,4.8,99.0,88.0,2.033,2.883
33779,0.0357142857142857,1,2,9,7.0,3.5,3.23,88.0,81.0,1.85,2.047
20134,0.0625,1,0,1,1.809523809523809,14.666666666666666,1.59,65.0,65.0,0.772,0.474
32985,0.1428571428571428,0,2,0,0.8660714285714286,44.0,1.59,65.0,65.0,0.772,0.474
29988,0.0333333333333333,1,1,3,2.0350877192982457,15.5,1.59,65.0,65.0,0.772,0.474
14194,0.0526315789473684,1,5,3,1.9444444444444444,7.666666666666667,3.23,88.0,81.0,1.85,2.047
29400,0.0909090909090909,1,3,2,3.096590909090909,16.25,4.8,99.0,88.0,2.033,2.883
18916,0.1111111111111111,1,0,1,0.875,4.75,1.23,52.0,54.0,0.458,0.36
22269,0.1111111111111111,0,11,7,7.542857142857143,13.5,3.23,88.0,81.0,1.85,2.047
32829,0.0526315789473684,0,7,10,21.07692307692308,25.0,3.23,88.0,81.0,1.85,2.047
40194,0.0833333333333333,1,2,0,0.5974378881987578,118.28571428571428,1.59,65.0,65.0,0.772,0.474
