Paper_Id,Recency,Spec_P,n_ref,n_cite,degree,Cite_per_paper,Auth_collab,P_index_auth,H_index_auth,CiteScore,Percentile,Percent_Cited,SNIP,SJR
3656,0.0303030303030303,1,0,1,1,9.475,64.0,97.575,6.5,5.24,95.0,87.0,2.359,1.628
3837,0.0303030303030303,0,0,1,1,14.50284090909091,80.0,198.2917,9.5,1.03,43.0,47.0,0.884,0.412
3964,0.0294117647058823,0,0,1,1,0.5,9.0,3.8333,1.0,2.09,88.0,72.0,1.478,0.674
3968,0.0294117647058823,1,0,1,1,6.969512195121951,294.0,567.0833,15.0,1.28,47.0,46.0,0.698,0.33
3969,0.0294117647058823,1,0,1,1,6.969512195121951,294.0,567.0833,15.0,1.28,47.0,46.0,0.698,0.33
4411,0.0294117647058823,1,0,3,3,3.98,74.0,102.4952,7.0,3.33,93.0,73.0,2.241,1.162
4412,0.0294117647058823,0,0,3,3,2.4194444444444443,142.0,53.1583,6.0,3.33,93.0,73.0,2.241,1.162
4413,0.0294117647058823,1,0,4,4,3.25,2.0,10.0,2.0,3.33,93.0,73.0,2.241,1.162
4414,0.0294117647058823,1,0,1,1,5.0,2.0,2.5,1.0,3.33,93.0,73.0,2.241,1.162
4415,0.0294117647058823,0,0,4,4,8.142857142857142,4.0,48.0,4.0,3.33,93.0,73.0,2.241,1.162
4418,0.0294117647058823,0,0,1,1,1.5263157894736843,38.0,34.3333,5.0,3.33,93.0,73.0,2.241,1.162
4419,0.0294117647058823,0,0,1,1,1.0,2.0,7.3333,2.0,3.33,93.0,73.0,2.241,1.162
4424,0.0294117647058823,0,0,1,1,10.328629032258064,119.0,112.475,7.0,3.33,93.0,73.0,2.241,1.162
4429,0.0294117647058823,0,0,1,1,23.54964539007092,400.0,359.81825000000003,18.5,3.33,93.0,73.0,2.241,1.162
4612,0.0303030303030303,0,0,2,2,5.428571428571429,8.0,14.6667,3.0,1.4,54.0,50.0,1.488,0.517
4639,0.0294117647058823,0,0,1,1,31.166666666666668,48.0,548.25,9.0,1.4,54.0,50.0,1.488,0.517
4640,0.0294117647058823,0,0,1,1,4.484037558685446,326.0,159.65835,9.0,1.4,54.0,50.0,1.488,0.517
5282,0.0303030303030303,1,0,1,1,3.463768115942029,107.0,77.2917,8.0,1.03,43.0,47.0,0.884,0.412
5284,0.0303030303030303,0,0,1,1,6.0,2.0,3.0,1.0,1.03,43.0,47.0,0.884,0.412
5372,0.0303030303030303,0,0,1,1,12.00946551233036,984.0,648.8503999999999,18.666666666666668,3.76,88.0,76.0,2.251,0.805
5375,0.0303030303030303,0,0,1,1,4.1662393162393165,329.0,188.39165000000003,10.5,3.76,88.0,76.0,2.251,0.805
5379,0.0303030303030303,1,0,11,11,11.267926356589149,509.0,423.93655,15.5,3.76,88.0,76.0,2.251,0.805
5381,0.0303030303030303,0,0,1,1,5.90432098765432,114.0,43.8611,4.666666666666667,3.76,88.0,76.0,2.251,0.805
5383,0.0303030303030303,1,0,2,2,11.09375,28.0,226.1667,10.0,3.76,88.0,76.0,2.251,0.805
5384,0.0303030303030303,0,0,2,2,5.5,55.0,12.7456,3.0,3.76,88.0,76.0,2.251,0.805
5385,0.0303030303030303,0,0,4,4,5.0,26.0,138.6667,8.0,3.76,88.0,76.0,2.251,0.805
5387,0.0303030303030303,0,0,1,1,15.465116279069768,67.0,337.8833,13.0,3.76,88.0,76.0,2.251,0.805
5673,0.0303030303030303,0,0,1,1,3.0,0.0,3.0,1.0,1.03,43.0,47.0,0.884,0.412
5676,0.0303030303030303,0,0,1,1,10.545454545454543,24.0,151.6333,6.0,1.03,43.0,47.0,0.884,0.412
6021,0.0303030303030303,0,0,1,1,7.911764705882353,93.0,294.219,13.0,1.03,43.0,47.0,0.884,0.412
6023,0.0303030303030303,1,0,1,1,2.4158653846153846,71.0,23.0,4.0,1.03,43.0,47.0,0.884,0.412
6035,0.0303030303030303,0,0,1,1,0.4267676767676767,79.0,1.6222333333333332,1.6666666666666667,1.03,43.0,47.0,0.884,0.412
6037,0.0303030303030303,0,0,1,1,1.22,43.0,27.83335,2.5,1.03,43.0,47.0,0.884,0.412
6046,0.0303030303030303,0,0,1,1,6.0,2.0,3.0,1.0,1.03,43.0,47.0,0.884,0.412
6049,0.0303030303030303,1,0,4,4,5.092783505154639,153.0,222.5,13.0,1.03,43.0,47.0,0.884,0.412
6055,0.0303030303030303,0,0,1,1,7.384615384615385,52.0,200.1833,10.0,1.03,43.0,47.0,0.884,0.412
6063,0.0303030303030303,0,0,1,1,4.599425287356322,165.0,87.4798,7.0,1.03,43.0,47.0,0.884,0.412
6106,0.0303030303030303,1,0,2,2,6.358695652173913,366.0,547.2111,15.0,0.24,11.0,17.0,0.237,0.122
6110,0.0303030303030303,0,0,1,1,9.24390243902439,212.0,754.7833,23.0,0.24,11.0,17.0,0.237,0.122
6118,0.0303030303030303,0,0,1,1,11.683760683760685,148.0,760.05,18.0,0.24,11.0,17.0,0.237,0.122
6122,0.0303030303030303,0,0,2,2,11.078288444114982,473.0,237.68043333333333,8.333333333333334,0.24,11.0,17.0,0.237,0.122
6123,0.0303030303030303,0,0,1,1,24.49069884364002,193.0,510.3,14.0,0.24,11.0,17.0,0.237,0.122
6211,0.0303030303030303,0,0,13,13,9.666666666666666,2.0,28.0,2.0,3.22,87.0,79.0,1.459,2.489
6212,0.0303030303030303,1,0,2,2,2.9125,77.0,26.0,3.5,3.22,87.0,79.0,1.459,2.489
6213,0.0303030303030303,1,0,4,4,5.527350427350427,100.0,60.3,6.666666666666667,3.22,87.0,79.0,1.459,2.489
6215,0.0303030303030303,0,0,8,8,5.0,6.0,9.5,2.5,3.22,87.0,79.0,1.459,2.489
6216,0.0303030303030303,0,0,2,2,6.426666666666667,178.0,161.1333,11.0,3.22,87.0,79.0,1.459,2.489
6219,0.0303030303030303,0,0,1,1,4.395690834473324,124.0,76.0,5.5,3.22,87.0,79.0,1.459,2.489
6220,0.0303030303030303,1,0,31,31,10.574577861163226,104.0,66.0,5.0,3.22,87.0,79.0,1.459,2.489
6221,0.0303030303030303,0,0,2,2,10.0,14.0,32.8,4.0,3.22,87.0,79.0,1.459,2.489
6479,0.0303030303030303,0,0,1,1,1.0,2.0,0.5,1.0,2.68,79.0,72.0,1.2,0.619
6678,0.0303030303030303,1,0,1,1,1.0,2.0,2.5,1.0,5.24,95.0,87.0,2.359,1.628
6680,0.0303030303030303,1,0,4,4,9.0,35.0,78.0833,9.0,5.24,95.0,87.0,2.359,1.628
6682,0.0303030303030303,0,0,2,2,3.0,14.0,21.5,3.0,5.24,95.0,87.0,2.359,1.628
6685,0.0303030303030303,0,0,18,18,11.952380952380953,114.0,182.54165,10.5,5.24,95.0,87.0,2.359,1.628
6686,0.0303030303030303,0,0,1,1,14.617021276595745,60.0,318.0952,16.0,5.24,95.0,87.0,2.359,1.628
6687,0.0303030303030303,0,0,2,2,5.576923076923077,20.0,26.75,4.0,5.24,95.0,87.0,2.359,1.628
6785,0.0303030303030303,1,0,1,1,1.3953488372093024,50.0,33.65,4.0,0.24,11.0,17.0,0.237,0.122
6787,0.0303030303030303,0,0,3,3,13.333333333333334,134.0,636.8667,16.0,0.24,11.0,17.0,0.237,0.122
6796,0.0303030303030303,0,0,2,2,14.689967105263158,439.0,601.6031499999999,17.0,0.24,11.0,17.0,0.237,0.122
7270,0.0303030303030303,0,0,1,1,8.62636855296135,753.0,642.2316,15.5,0.24,11.0,17.0,0.237,0.122
7271,0.0303030303030303,0,0,1,1,3.1818181818181817,45.0,57.6667,7.0,0.24,11.0,17.0,0.237,0.122
7273,0.0303030303030303,0,0,2,2,6.333333333333333,25.0,100.1333,7.0,0.24,11.0,17.0,0.237,0.122
7277,0.0303030303030303,0,0,8,8,5.265837104072398,186.0,170.6143,9.0,0.24,11.0,17.0,0.237,0.122
7279,0.0303030303030303,0,0,1,1,10.783333333333331,54.0,46.225,4.5,0.24,11.0,17.0,0.237,0.122
7281,0.0303030303030303,1,0,1,1,8.169354838709676,473.0,356.53775,16.5,0.24,11.0,17.0,0.237,0.122
7346,0.0303030303030303,0,0,1,1,36.27633828160144,223.0,769.2638999999999,16.333333333333332,0.24,11.0,17.0,0.237,0.122
7348,0.0303030303030303,0,0,1,1,10.271844660194176,181.0,142.95835,6.5,0.24,11.0,17.0,0.237,0.122
7349,0.0303030303030303,0,0,1,1,12.03028455284553,412.0,835.1738,23.5,0.24,11.0,17.0,0.237,0.122
7350,0.0303030303030303,0,0,1,1,6.48719298245614,179.0,195.2375,9.0,0.24,11.0,17.0,0.237,0.122
7351,0.0303030303030303,0,0,2,2,14.702531017369727,123.0,121.0,6.0,0.24,11.0,17.0,0.237,0.122
7397,0.0303030303030303,1,0,1,1,4.987121212121212,684.0,415.116075,8.75,0.24,11.0,17.0,0.237,0.122
7777,0.0303030303030303,1,0,1,1,3.1666666666666665,13.0,13.5,2.5,4.65,99.0,83.0,2.16,1.656
7778,0.0303030303030303,0,0,1,1,1.3888888888888888,0.0,50.0,4.0,4.65,99.0,83.0,2.16,1.656
7827,0.0303030303030303,0,0,2,2,28.722680453449684,687.0,3206.9918500000003,41.0,0.24,11.0,17.0,0.237,0.122
7828,0.0303030303030303,0,0,1,1,5.512596899224807,188.0,87.66515,7.0,0.24,11.0,17.0,0.237,0.122
7829,0.0303030303030303,1,0,2,2,8.555925749643027,403.0,550.0944333333333,11.333333333333334,0.24,11.0,17.0,0.237,0.122
7944,0.0303030303030303,1,0,6,6,4.125,5.0,3.75,1.0,4.65,99.0,83.0,2.16,1.656
8234,0.0294117647058823,0,0,1,1,1.6428571428571428,7.0,20.75,3.0,2.09,88.0,72.0,1.478,0.674
8236,0.0294117647058823,0,0,1,1,0.5,0.0,1.0,1.0,2.09,88.0,72.0,1.478,0.674
8239,0.0303030303030303,1,0,1,1,1.3333333333333333,4.0,1.0,1.0,2.09,88.0,72.0,1.478,0.674
8241,0.0303030303030303,1,0,1,1,2.350515463917526,77.0,118.7667,7.0,2.09,88.0,72.0,1.478,0.674
9072,0.0294117647058823,1,0,2,2,10.857142857142858,16.0,58.45835,4.5,2.09,88.0,72.0,1.478,0.674
9260,0.0303030303030303,1,0,1,1,8.666666666666666,12.0,27.0,2.0,1.4,54.0,50.0,1.488,0.517
9261,0.0303030303030303,0,0,8,8,5.19672131147541,87.0,217.3095,8.0,1.4,54.0,50.0,1.488,0.517
9372,0.0303030303030303,0,0,1,1,3.3181818181818183,38.0,31.7833,5.0,1.03,43.0,47.0,0.884,0.412
9565,0.0303030303030303,1,1,12,13,6.926136363636363,16.0,38.83335,3.5,8.33,99.0,91.0,4.476,5.085
